,char_numbers,digit_numbers,plane_models,plane_ids,departure_dates,departure_times,arrival_dates,arrival_times,stationTos,stationFroms,companys
75,SU,1010,Airbus A321,1563,2021-05-07,13:25:00,2021-05-07,15:35:00,Храброво,Шереметьево,Аэрофлот
76,WZ,103,Airbus А321,1564,2021-05-07,13:25:00,2021-05-07,15:30:00,Храброво,Домодедово,Red Wings
77,S7,1211,Airbus A320,1565,2021-05-07,14:00:00,2021-05-07,16:15:00,Храброво,Домодедово,S7 Airlines
78,N4,223Ц,Boeing 737-800,1566,2021-05-07,14:45:00,2021-05-07,16:50:00,Храброво,Шереметьево,Nordwind
79,UT,329,Boeing 737-800,1567,2021-05-07,14:55:00,2021-05-07,17:05:00,Храброво,Внуково,ЮТэйр
80,SU,1006,Airbus A321,1568,2021-05-07,15:30:00,2021-05-07,17:40:00,Храброво,Шереметьево,Аэрофлот
81,U6,73,Airbus А321,1569,2021-05-07,16:00:00,2021-05-07,18:00:00,Храброво,Домодедово,Уральские авиалинии
82,DP,263,Boeing 737-800,1570,2021-05-07,16:10:00,2021-05-07,18:15:00,Храброво,Внуково,Победа
83,5N,211,Boeing 737-800,1571,2021-05-07,16:55:00,2021-05-07,18:55:00,Храброво,Домодедово,Smartavia
84,SU,1008,Airbus A321,1572,2021-05-07,17:05:00,2021-05-07,19:10:00,Храброво,Шереметьево,Аэрофлот
85,FV,6253,Сухой Суперджет 100,1573,2021-05-06,03:00:00,2021-05-06,04:20:00,Стригино,Шереметьево,Россия
86,S7,1093,Embraer 170,1574,2021-05-06,05:30:00,2021-05-06,06:45:00,Стригино,Домодедово,S7 Airlines
87,FV,6225,Сухой Суперджет 100,1575,2021-05-06,06:45:00,2021-05-06,08:10:00,Стригино,Шереметьево,Россия
88,S7,1095,Embraer 170,1576,2021-05-06,10:10:00,2021-05-06,11:25:00,Стригино,Домодедово,S7 Airlines
89,FV,6229,Сухой Суперджет 100,1577,2021-05-06,12:10:00,2021-05-06,13:20:00,Стригино,Шереметьево,Россия
90,FV,6349,Сухой Суперджет 100,1578,2021-05-06,15:30:00,2021-05-06,16:45:00,Стригино,Шереметьево,Россия
91,S7,1097,Embraer 170,1579,2021-05-06,16:30:00,2021-05-06,17:45:00,Стригино,Домодедово,S7 Airlines
92,FV,6235,Сухой Суперджет 100,1580,2021-05-06,17:25:00,2021-05-06,18:40:00,Стригино,Шереметьево,Россия
93,S7,1099,Embraer 170,1581,2021-05-06,20:50:00,2021-05-06,22:05:00,Стригино,Домодедово,S7 Airlines
